customer_id,gender,age_years,marital_status,children_count,highest_edu,annual_investment_rev,annual_income,total_txns,avg_daily_txns,total_txn_amount,avg_txn_amount
1009520370,1,60.79,2,1,4,0.00,13035.00,242,0.66,6339.07,26.19
1009520380,1,33.81,2,0,1,0.00,18267.00,239,0.65,7957.14,33.29
1009520390,0,44.22,1,1,2,111192.00,129276.00,291,0.80,31141.07,107.01
1009520400,0,70.41,2,0,1,0.00,17867.00,241,0.66,7946.08,32.97
1009520410,1,31.67,1,0,1,0.00,17576.00,242,0.66,7961.81,32.90
1009520420,1,25.86,2,2,3,90419.00,111569.00,290,0.79,26802.98,92.42
1009520430,0,49.24,1,2,2,11258.00,20142.00,239,0.65,8800.02,36.82
1009520440,0,67.41,1,0,1,0.00,33727.00,241,0.66,12936.61,53.68
1009520450,1,21.60,1,2,1,0.00,17678.00,253,0.69,9150.58,36.17
1009520460,1,66.08,2,0,1,0.00,20747.00,239,0.65,8755.97,36.64
1009520470,0,35.68,1,1,4,0.00,22684.00,256,0.70,10737.54,41.94
1009520480,0,31.70,1,1,4,0.00,18594.00,255,0.70,9434.57,37.00
1009520490,1,44.82,2,0,4,13635.00,31180.00,244,0.67,12049.86,49.38
1009520500,1,62.94,2,2,1,0.00,21980.00,241,0.66,9497.40,39.41
1009520510,1,41.53,2,2,1,0.00,20891.00,252,0.69,10230.50,40.60
1009520520,0,58.76,1,0,4,7088.00,38005.00,241,0.66,14959.07,62.07
1009520530,1,51.76,1,1,1,0.00,16650.00,240,0.66,7551.06,31.46
1009520540,0,27.29,1,1,2,5111.00,22438.00,251,0.69,10375.43,41.34
1009520550,0,61.59,1,2,4,9669.00,32600.00,239,0.65,12798.48,53.55
1009520560,0,26.04,1,2,1,0.00,17812.00,252,0.69,9343.19,37.08
1009520570,0,35.89,2,0,1,0.00,15069.00,240,0.66,7225.94,30.11
1009520580,0,23.83,1,1,4,0.00,15069.00,254,0.69,8136.50,32.03
1009520590,1,21.08,1,2,4,12402.00,34229.00,259,0.71,14372.96,55.49
1009520600,0,45.16,1,2,4,0.00,14419.00,241,0.66,7004.85,29.07
1009520610,0,59.17,1,1,1,0.00,29969.00,241,0.66,11868.77,49.25
1009520620,1,39.61,2,1,1,0.00,25313.00,254,0.69,11413.83,44.94
1009520630,1,66.71,2,2,2,11331.00,40597.00,242,0.66,15046.75,62.18
1009520640,1,49.22,2,1,4,0.00,13797.00,242,0.66,6965.14,28.78
1009520650,1,39.49,2,0,1,0.00,16832.00,240,0.66,7883.56,32.85
1009520660,1,59.78,2,0,1,0.00,19673.00,245,0.67,8582.10,35.03
1009520670,0,57.93,2,2,4,0.00,17312.00,242,0.66,7731.34,31.95
1009520680,1,37.12,1,0,1,0.00,17599.00,240,0.66,7663.99,31.93
1009520690,1,40.16,1,0,4,0.00,15869.00,240,0.66,7388.97,30.79
1009520700,1,64.70,2,0,4,11270.00,25854.00,242,0.66,10777.43,44.53
1009520710,1,54.65,1,2,1,0.00,15385.00,238,0.65,7481.89,31.44
1009520720,0,66.50,1,0,1,0.00,19061.00,241,0.66,8471.37,35.15
1009520730,1,28.21,2,0,2,11349.00,20414.00,242,0.66,8906.74,36.80
1009520740,0,53.89,1,0,1,0.00,37209.00,242,0.66,14496.46,59.90
1009520750,0,27.24,2,1,1,0.00,13119.00,253,0.69,7561.64,29.89
1009520760,0,69.86,1,1,1,0.00,20636.00,241,0.66,8945.09,37.12
1009520770,1,64.37,2,0,1,0.00,13770.00,239,0.65,6618.56,27.69
1009520780,0,45.24,1,0,1,0.00,28909.00,242,0.66,11639.78,48.10
1009520790,0,39.04,2,2,1,0.00,18751.00,257,0.70,9596.12,37.34
1009520800,1,39.82,2,1,2,97832.00,114646.00,285,0.78,27858.96,97.75
1009520810,1,32.49,1,0,2,14445.00,48558.00,240,0.66,17876.96,74.49
1009520820,0,44.12,1,0,4,0.00,20934.00,241,0.66,8748.81,36.30
1009520830,1,37.21,2,2,1,0.00,21760.00,256,0.70,10611.84,41.45
1009520840,1,68.85,2,2,4,0.00,17830.00,242,0.66,8044.29,33.24
1009520850,1,35.87,1,2,4,0.00,13868.00,256,0.70,7809.83,30.51
1009520860,0,43.71,2,0,1,0.00,19633.00,244,0.67,8692.20,35.62
1009520870,0,67.35,1,1,4,0.00,14840.00,244,0.67,7114.79,29.16
1009520880,0,30.32,2,2,1,0.00,36552.00,253,0.69,15297.83,60.47
1009520890,1,22.55,1,2,4,7462.00,45292.00,252,0.69,17659.81,70.08
1009520900,0,65.96,2,1,4,11939.00,33792.00,238,0.65,12977.48,54.53
1009520910,0,36.92,1,2,1,0.00,14530.00,253,0.69,7985.78,31.56
1009520920,0,39.41,1,0,2,104353.00,179889.00,293,0.80,39078.27,133.37
1009520930,0,48.86,2,2,4,10711.00,53390.00,241,0.66,20015.18,83.05
1009520940,0,32.18,2,1,4,0.00,15084.00,256,0.70,8271.47,32.31
1009520950,1,34.32,1,1,1,0.00,21237.00,256,0.70,10401.55,40.63
1009520960,0,64.37,1,2,2,116186.00,95416.00,277,0.76,22714.75,82.00
1009520970,1,34.04,1,2,4,0.00,21571.00,255,0.70,10279.34,40.31
1009520980,1,27.48,1,2,4,0.00,21987.00,256,0.70,10587.31,41.36
1009520990,0,49.11,1,1,1,0.00,19014.00,238,0.65,8412.20,35.35
1009521000,0,23.45,1,2,1,0.00,18710.00,255,0.70,9485.53,37.20
1009521010,1,44.22,1,1,4,0.00,15629.00,255,0.70,8465.47,33.20
1009521020,1,41.38,1,1,1,0.00,13616.00,257,0.70,7883.50,30.68
1009521030,0,31.87,2,0,4,13918.00,21219.00,240,0.66,9115.98,37.98
1009521040,0,53.08,1,0,4,0.00,19300.00,243,0.66,8831.27,36.34
1009521050,0,50.55,2,0,1,0.00,15615.00,243,0.66,7513.26,30.92
1009521060,1,28.88,2,0,1,0.00,14679.00,241,0.66,6959.82,28.88
1009521070,1,41.08,1,1,4,0.00,33618.00,256,0.70,14302.03,55.87
1009521080,0,38.26,2,2,1,0.00,17246.00,259,0.71,9040.56,34.91
1009521090,0,33.52,1,0,4,0.00,20591.00,240,0.66,9043.56,37.68
1009521100,0,64.17,2,1,1,0.00,22122.00,241,0.66,9651.38,40.05
1009521110,0,57.09,1,0,1,0.00,16780.00,243,0.66,7847.01,32.29
1009521120,0,36.26,1,1,4,0.00,18053.00,257,0.70,9440.04,36.73
1009521130,0,64.60,1,0,1,0.00,14946.00,242,0.66,7337.49,30.32
1009521140,1,67.07,1,1,3,92161.00,113216.00,275,0.75,26179.20,95.20
1009521150,1,47.26,1,0,2,9466.00,42029.00,239,0.65,15493.82,64.83
1009521160,0,47.14,2,1,1,0.00,21836.00,242,0.66,9491.24,39.22
1009521170,1,22.13,2,0,2,5002.00,56792.00,237,0.65,20914.08,88.25
1009521180,1,35.23,1,0,4,0.00,30067.00,242,0.66,12071.90,49.88
1009521190,0,66.36,1,2,2,116344.00,94841.00,272,0.74,22305.03,82.00
1009521200,0,46.27,1,0,4,0.00,19328.00,246,0.67,8369.04,34.02
1009521210,0,43.55,1,0,3,104031.00,88246.00,271,0.74,19068.45,70.36
1009521220,1,34.54,1,0,4,0.00,17105.00,239,0.65,7530.88,31.51
1009521230,0,24.36,2,2,4,0.00,24808.00,253,0.69,11343.17,44.83
1009521240,1,21.62,2,0,2,95907.00,106518.00,277,0.76,24407.81,88.11
1009521250,1,31.32,1,0,1,0.00,16058.00,240,0.66,7249.65,30.21
